2015-06-15T12:53:00.213Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:23:00 GMT+0530 (India Standard Time), pid=7460, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39817216, heapTotal=32530376, heapUsed=17063132, loadavg=[0, 0, 0], uptime=527930.9872946, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=385, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:385:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:53:05.227Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:23:05 GMT+0530 (India Standard Time), pid=7460, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39964672, heapTotal=32530376, heapUsed=17510444, loadavg=[0, 0, 0], uptime=527935.9958993, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=385, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:385:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:53:10.223Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:23:10 GMT+0530 (India Standard Time), pid=7460, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39993344, heapTotal=32530376, heapUsed=17685752, loadavg=[0, 0, 0], uptime=527940.9944984, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=385, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:385:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:56:16.779Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:26:16 GMT+0530 (India Standard Time), pid=5192, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39821312, heapTotal=32530376, heapUsed=17068892, loadavg=[0, 0, 0], uptime=528127.5528801, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=382, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:382:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:56:21.784Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:26:21 GMT+0530 (India Standard Time), pid=5192, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39952384, heapTotal=32530376, heapUsed=17497568, loadavg=[0, 0, 0], uptime=528132.5534752, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=382, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:382:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:56:26.791Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:26:26 GMT+0530 (India Standard Time), pid=5192, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39985152, heapTotal=32530376, heapUsed=17677392, loadavg=[0, 0, 0], uptime=528137.5610762, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=382, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:382:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:56:31.782Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:26:31 GMT+0530 (India Standard Time), pid=5192, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=40009728, heapTotal=32530376, heapUsed=17845080, loadavg=[0, 0, 0], uptime=528142.5516747, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=382, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:382:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-15T12:56:36.798Z - error: uncaughtException: loger is not defined date=Mon Jun 15 2015 18:26:36 GMT+0530 (India Standard Time), pid=5192, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=40054784, heapTotal=32530376, heapUsed=18022740, loadavg=[0, 0, 0], uptime=528147.5652767, trace=[column=13, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=382, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js, function=null, line=1174, method=null, native=false, column=16, file=C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js, function=null, line=109, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: loger is not defined,     at C:\node-sample\ras_pi_node_server\routes\index.js:382:13,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\lib\query.js:1174:16,     at C:\node-sample\ras_pi_node_server\node_modules\mongoose\node_modules\kareem\index.js:109:16,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:27:33.394Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:33 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=38903808, heapTotal=31526856, heapUsed=15688044, loadavg=[0, 0, 0], uptime=674004.158626, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:27:38.356Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:38 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39112704, heapTotal=31526856, heapUsed=16147568, loadavg=[0, 0, 0], uptime=674009.1322174, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:27:43.360Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:43 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39120896, heapTotal=31526856, heapUsed=16286076, loadavg=[0, 0, 0], uptime=674014.1298248, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
